estrategia,esperança,variancia,R1(%),R2(%),R3(%),R4(%),R5(%),R6(%),R7(%),R8(%),>=1(%),>=2(%),>=3(%),>=4(%),>=5(%),>=6(%),>=7(%),>=8(%),>=9(%),>=10(%),>=11(%),>=12(%),>=13(%),>=14(%),>=15(%),>=16(%),>=17(%),>=18(%),>=19(%),>=20(%),>=21(%),>=22(%),>=23(%),>=24(%)
2110000,3.832344701352718,1.644851889577657,39.53230976604174,46.40483807153545,10.792282207179223,3.2705699552435874,0,0,0,0,99.95885912372253,97.55918950396352,85.19691700197232,59.12843935182903,29.55420544067924,9.77258057973441,1.8999017033531373,0.16411806165210407,0.00010048008381602358,8.015729498822566e-05,4.900175115096772e-05,2.1641492935486895e-05,6.6075060090042825e-06,1.317807431178153e-06,1.5430022415330313e-07,8.043684829317499e-09,4.8274273467541207e-11,2.48263631874579e-11,8.398615136684384e-12,1.8474111129762605e-12,1.9895196601282805e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2111000,3.8393875785488194,1.6336976852731073,39.53230976604174,46.40483807153545,10.792282207179223,2.5099399131583566,0.7606300420852307,0,0,0,99.99043194706654,97.67985387151975,85.39861221260863,59.319657987805975,29.66523877851499,9.812044631381923,1.9078432737469626,0.16481514026638422,0.00010064173667956311,8.036205049677392e-05,4.9164253994149476e-05,2.1723361172121258e-05,6.634162147634015e-06,1.3232908031568513e-06,1.5495177763114043e-07,8.07789035661699e-09,4.8487436288269237e-11,2.4940050025179517e-11,8.455458555545192e-12,1.8474111129762605e-12,2.1316282072803006e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2111100,3.841025526689779,1.6310893551056367,39.53230976604174,46.40483807153545,10.792282207179223,2.5099399131583566,0.5837318045181062,0.1768982375671245,0,0,99.99777477668876,97.70791654690309,85.4455200722949,59.3641293310645,29.69106158419922,9.821222708498851,1.9096902292029085,0.1649772584730016,0.00010067933197888124,8.040967010458644e-05,4.92020469948784e-05,2.174240113106407e-05,6.640361533527539e-06,1.3245660852589936e-06,1.5510333639667806e-07,8.085862646112218e-09,4.8544279707130045e-11,2.495426087989472e-11,8.455458555545192e-12,1.8474111129762605e-12,1.9895196601282805e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2111110,3.8414064610774967,1.6304819718108003,39.53230976604174,46.40483807153545,10.792282207179223,2.5099399131583566,0.5837318045181062,0.1357573612896551,0.041140876277469395,0,99.99948248417736,97.71444302829622,85.45642934125277,59.3744719441739,29.697067143488013,9.823357235899039,1.9101197720120808,0.16501496198645782,0.0001006880754488293,8.042074489367224e-05,4.921083642273061e-05,2.1746829219182473e-05,6.6418033100035245e-06,1.3248626800077545e-06,1.5513857931637176e-07,8.08772426807991e-09,4.8558490561845247e-11,2.4982682589325123e-11,8.469669410260394e-12,1.8616219676914625e-12,2.1316282072803006e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2111111,3.841495054241174,1.6303406722718545,39.53230976604174,46.40483807153545,10.792282207179223,2.5099399131583566,0.5837318045181062,0.1357573612896551,0.031572823344009314,0.009568052933460082,99.99987964235979,97.71596087927776,85.45896648854517,59.376877305426625,29.69846384463706,9.82385365875146,1.9102196699410285,0.16502373061864262,0.00010069010886581964,8.042332051161338e-05,4.921288055470541e-05,2.1747859022980265e-05,6.642138600909675e-06,1.3249316310748327e-06,1.5514676476868772e-07,8.08813638286665e-09,4.8544279707130045e-11,2.495426087989472e-11,8.455458555545192e-12,1.8474111129762605e-12,1.8474111129762605e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2200000,3.854146625180985,1.7365998962559157,39.53230976604174,23.90427461165895,36.56341562229931,0,0,0,0,0,99.54006458232547,96.86140070978905,85.3482396425522,60.334328213430645,30.764800957869667,10.348818304255929,2.038860873847412,0.17785573258176157,0.00011484765096270166,9.0629703720424e-05,5.491653716660494e-05,2.412193947520791e-05,7.343157960804092e-06,1.4623464181795498e-06,1.7109982763940934e-07,8.916373417378054e-09,5.3503868002735544e-11,2.751221472863108e-11,9.308109838457312e-12,2.0463630789890885e-12,2.2737367544323206e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2210000,3.932882640499947,1.6028231752230795,39.53230976604174,23.90427461165895,28.059933738665983,8.503481883633327,0,0,0,0,99.89303372167858,98.21037091441252,87.60309610990855,62.47206156193913,32.006100833663794,10.790007620575139,2.127643851425205,0.1856487397468527,0.00011665485297385203,9.291877279338223e-05,5.6733241777351395e-05,2.503718748414485e-05,7.641160863158802e-06,1.5236480095381921e-06,1.7838402754932758e-07,9.29878751776414e-09,5.5848659030743875e-11,2.873434823413845e-11,9.762857189343777e-12,2.1600499167107046e-12,2.7000623958883807e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2211000,3.951194121209804,1.5699339021488097,39.53230976604174,23.90427461165895,28.059933738665983,6.525843774211728,1.9776381094215996,0,0,0,99.975123062373,98.52409827005873,88.12750365756293,62.969230015479184,32.29478751203676,10.892614154858677,2.1482919344491194,0.18746114414393844,0.00011707515038494876,9.345113709002817e-05,5.7155749217940865e-05,2.5250044899394197e-05,7.710466789490056e-06,1.5379047653141242e-06,1.8007807511821738e-07,9.387690624862444e-09,5.6360249800491147e-11,2.900435447372729e-11,9.833911462919787e-12,2.1742607714259066e-12,2.5579538487363607e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2211100,3.9554527863763003,1.5621887896998548,39.53230976604174,23.90427461165895,28.059933738665983,6.525843774211728,1.517702691747076,0.45993541767452356,0,0,99.99421441939077,98.59706122605539,88.24946409274722,63.08485550795132,32.3619268068157,10.916477155362642,2.1530940186345475,0.18788265148110384,0.00011717289812906984,9.357494801065513e-05,5.725401092604443e-05,2.5299548724433407e-05,7.726585124601115e-06,1.5412204419362752e-06,1.8047205685434164e-07,9.408367418473063e-09,5.6488147492927965e-11,2.9061197892588098e-11,9.848122317634989e-12,2.1600499167107046e-12,2.4158453015843406e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2211110,3.956443215784367,1.5603823252253477,39.53230976604174,23.90427461165895,28.059933738665983,6.525843774211728,1.517702691747076,0.35296913935310315,0.10696627832142039,0,99.99865445886114,98.61403007767754,88.27782819203769,63.11174630203576,32.37754126096655,10.922026926603152,2.154210829938407,0.18798068061607864,0.0001171956311196709,9.360374245659386e-05,5.727686344414451e-05,2.53110617194352e-05,7.73033372070131e-06,1.5419915371239767e-06,1.8056366002383584e-07,9.413156476512086e-09,5.650235834764317e-11,2.9061197892588098e-11,9.848122317634989e-12,2.1600499167107046e-12,2.4158453015843406e-13,-7.105427357601002e-14,-8.526512829121202e-14,-8.526512829121202e-14,
2211111,3.9566735580099284,1.5599619181290763,39.53230976604174,23.90427461165895,28.059933738665983,6.525843774211728,1.517702691747076,0.35296913935310315,0.08208934069442418,0.024876937626996207,99.99968707013545,98.61797649022952,88.28442477499793,63.11800024129285,32.381172683954105,10.92331762601944,2.1544705645536766,0.18800347905980175,0.00011720091809763744,9.361043913713729e-05,5.728217821854287e-05,2.531373930025893e-05,7.731205542427233e-06,1.5421708923213373e-06,1.8058499051676336e-07,9.414293344889302e-09,5.651656920235837e-11,2.90754087473033e-11,9.86233317235019e-12,2.1742607714259066e-12,2.5579538487363607e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2220000,3.964377240975326,1.6223918130769643,39.53230976604174,23.90427461165895,14.454362724852663,22.10905289744665,0,0,0,0,99.7218876763643,98.10216150351003,88.21900496312261,63.69840315687825,33.026806659357646,11.241051797133565,2.2323173352152708,0.1957679964470458,0.00012576288638399546,9.97835607563502e-05,6.073228368563832e-05,2.6749913629942057e-05,8.155298530709842e-06,1.6253041508207389e-06,1.9023642039428523e-07,9.915396503856755e-09,5.95292704019812e-11,3.062439191126032e-11,1.0388134796812665e-11,2.3021584638627246e-12,2.8421709430404007e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2221000,4.011987090820958,1.5324859057294127,39.53230976604174,23.90427461165895,14.454362724852663,16.96719381295049,5.141859084496159,0,0,0,99.93531996216981,98.91785262819015,89.58246458702402,64.99104113608237,33.777392023127334,11.507828786270764,2.286002351077471,0.20048024787952556,0.00012685565967274215,0.00010116770793899832,6.18308030055914e-05,2.7303342946538578e-05,8.335493987488007e-06,1.6623718011032906e-06,1.946409753372791e-07,1.0146592899218376e-08,6.093614501878619e-11,3.133493464702042e-11,1.0629719326971099e-11,2.3590018827235326e-12,2.8421709430404007e-13,-4.263256414560601e-14,-7.105427357601002e-14,-7.105427357601002e-14,
2221100,4.023059620253843,1.5109269027588539,39.53230976604174,23.90427461165895,14.454362724852663,16.96719381295049,3.946026998542397,1.1958320859537612,0,0,99.98495749041601,99.10755631378147,89.89956171850318,65.29166741650994,33.95195418955261,11.569872587581116,2.298487769959621,0.20157616695613,0.00012710980379893044,0.00010148961632694409,6.20862834637137e-05,2.7432052888798353e-05,8.377401655934591e-06,1.670992517688319e-06,1.9566532216686028e-07,1.020033835175127e-08,6.122036211309023e-11,3.147704319417244e-11,1.0658141036401503e-11,2.3305801732931286e-12,2.4158453015843406e-13,-8.526512829121202e-14,-1.2789769243681803e-13,-1.2789769243681803e-13,
2221110,4.025634736714819,1.5058778234298416,39.53230976604174,23.90427461165895,14.454362724852663,16.96719381295049,3.946026998542397,0.9177197623180682,0.27811232363569305,0,99.99650159303897,99.15167532799909,89.97330837665841,65.36158348112949,33.99255177034482,11.584301992806417,2.301391479349661,0.20183104270709862,0.00012716890962849448,0.00010156448195175471,6.21457000704595e-05,2.7461986732646437e-05,8.38714807116503e-06,1.6729974419149585e-06,1.9590356714616064e-07,1.0212858114755363e-08,6.131983809609665e-11,3.154809746774845e-11,1.0700773600547109e-11,2.3590018827235326e-12,2.8421709430404007e-13,-7.105427357601002e-14,-1.1368683772161603e-13,-1.1368683772161603e-13,
